city_id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Buala,SB,2022-05-09 00:41:52,-8.145,159.5921,83.93,77,93,10.0
222,Inirida,CO,2022-05-09 00:41:53,3.8653,-67.9239,74.1,95,17,1.28
223,Bandarbeyla,SO,2022-05-09 00:41:53,9.4942,50.8122,82.17,84,61,7.43
224,Dubuque,US,2022-05-09 00:40:14,42.4833,-90.8668,66.02,52,20,17.27
225,Beloha,MG,2022-05-09 00:41:54,-25.1667,45.05,69.96,84,47,2.3
226,Talnakh,RU,2022-05-09 00:41:54,69.4865,88.3972,20.21,92,100,11.7
227,Strezhevoy,RU,2022-05-09 00:42:55,60.7333,77.5889,39.51,75,35,6.6
228,Alofi,NU,2022-05-09 00:42:55,-19.0595,-169.9187,75.09,94,55,5.75
229,Ancud,CL,2022-05-09 00:42:55,-41.8697,-73.8203,49.14,93,39,6.31
230,Manicore,BR,2022-05-09 00:42:56,-5.8092,-61.3003,74.91,95,91,2.39
231,Vanavara,RU,2022-05-09 00:42:56,60.34,102.2797,28.63,75,100,8.32
232,Krasnokamensk,RU,2022-05-09 00:42:57,50.0979,118.0369,62.78,18,59,21.34
233,Darhan,MN,2022-05-09 00:34:45,49.4867,105.9228,40.87,48,81,17.6
234,Flin Flon,CA,2022-05-09 00:40:00,54.7682,-101.865,54.88,47,92,10.89
235,Jiayuguan,CN,2022-05-09 00:39:10,39.8167,98.3,62.78,35,37,5.28
236,Lovozero,RU,2022-05-09 00:42:57,68.005,35.0117,28.62,76,65,7.9
237,Gamba,GA,2022-05-09 00:42:58,-2.65,10.0,76.35,93,9,4.81
238,Houma,US,2022-05-09 00:40:03,29.5958,-90.7195,82.4,76,0,5.75
239,Mounana,GA,2022-05-09 00:42:58,-1.4085,13.1586,71.42,92,55,1.83
240,Iracoubo,GF,2022-05-09 00:42:58,5.4802,-53.2011,77.99,86,25,9.75
241,Port Alfred,ZA,2022-05-09 00:42:59,-33.5906,26.891,61.23,82,100,8.61
242,Mareeba,AU,2022-05-09 00:42:59,-17.0,145.4333,76.44,87,14,13.4
243,Tarboro,US,2022-05-09 00:43:00,35.8968,-77.5358,49.1,93,100,8.05
244,Geraldton,AU,2022-05-09 00:43:00,-28.7667,114.6,55.81,82,0,5.75
245,Navirai,BR,2022-05-09 00:43:01,-23.065,-54.1906,60.4,85,0,5.68
246,Soyo,AO,2022-05-09 00:43:01,-6.1349,12.3689,77.23,93,49,4.76
247,Gizo,SB,2022-05-09 00:43:01,-8.103,156.8419,85.32,69,84,6.51
248,Mayo,US,2022-05-09 00:43:02,38.8876,-76.5119,55.38,62,100,5.75
249,Iquique,CL,2022-05-09 00:43:02,-20.2208,-70.1431,64.44,77,39,4.9
